author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Emily Long,The Difference Between a Service Dog and a Therapy Dog,"We probably all consider our dogs essential to our day-to-day lives and wish we could take them everywhere. Many dogs actually do have real jobs and go to work with their humans every day, whether they’re herding livestock, aiding search-and-rescue teams, or …",https://lifehacker.com/the-difference-between-a-service-dog-and-a-therapy-dog-1848627962,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/5742ee49b8035b1430c7e4b0249e71f4.jpg",2022-03-09T21:00:00Z,"We probably all consider our dogs essential to our day-to-day lives and wish we could take them everywhere. Many dogs actually do have real jobs and go to work with their humans every day, whether th… [+2936 chars]",,Lifehacker.com
Meredith Dietz,Create a 'Career Search Action Plan' Before You Look for a New Job,"Searching for a job can feel like a full time job itself. It’s easy to feel defeated when it feels like you’re sending your resume out into the void and hearing nothing back the majority of the time. Maybe you’re graduating soon, or making a career pivot, or …",https://lifehacker.com/create-a-career-search-action-plan-before-you-look-for-1848700028,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/0e1803729843394f72d5e8cbb19939f8.jpg",2022-03-25T13:30:00Z,Searching for a job can feel like a full time job itself. Its easy to feel defeated when it feels like youre sending your resume out into the void and hearing nothing back the majority of the time. M… [+4643 chars],,Lifehacker.com
Brendan Hesse,"Yes, You Can Game on a Chromebook","PC gaming is rightly considered a “high-end” computer task. While plenty of games will run on weak or outdated PCs and laptops, the biggest, newest games require powerful hardware and gaming-friendly operating systems like Windows or SteamOS—features that tin…",https://lifehacker.com/yes-you-can-game-on-a-chromebook-1848746540,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/a358573206260f6baa81dcd0b8be41e9.jpg",2022-04-04T20:00:00Z,"PC gaming is rightly considered a high-end computer task. While plenty of games will run on weak or outdated PCs and laptops, the biggest, newestgames require powerful hardware and gaming-friendly op… [+5284 chars]",,Lifehacker.com
Meredith Dietz,How to Organize a Strike (and Win),"Strikes are on the rise. Earlier today, Major League Baseball and the players’ union reached a (tentative) agreement for the 2022 season—it only took 99 days of a tense lockout to get there. Meanwhile, over in Minneapolis, teachers are entering their third da…",https://lifehacker.com/how-to-organize-a-strike-and-win-1848628319,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/c438d8199111e36732f81c30f186671c.gif",2022-03-10T21:30:00Z,"Strikes are on the rise. Earlier today, Major League Baseball and the players union reached a (tentative) agreement for the 2022 seasonit only took 99 days of a tense lockout to get there. Meanwhile,… [+10390 chars]",,Lifehacker.com
Meredith Dietz,"Finally, There’s a Wordle Clone for Music-Lovers","Going “viral” used to actually mean something. The online content market has never been more saturated, and after years of subjecting ourselves to a little bit of everything all of the time, you’d think someone would be gatekeeping what counts as “viral.” Ala…",https://lifehacker.com/finally-there-s-a-wordle-clone-for-music-lovers-1848649747,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/c99b5ed7ccbbea0b6df016436c18ff63.png",2022-03-14T16:30:00Z,"Going viral used to actually mean something. The online content market has never been more saturated, and after years of subjecting ourselves to a little bit of everything all of the time, youd think… [+2649 chars]",,Lifehacker.com
Meghan Moravcik Walbert,Do These Two Things Every Time You Rent a Car,"Many of us are desperate to hit the road and see something—anything—other than the inside of our home this spring. Pair that desperation with a nationwide rental car shortage, and you may be so relieved to actually score a vehicle that you jump in the driver’…",https://lifehacker.com/do-these-two-things-every-time-you-rent-a-car-1848679411,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/e720c7f941c24c7664b70d24a6f6a32a.jpg",2022-03-21T15:00:00Z,"Many of us are desperate to hit the road and see somethinganythingother than the inside of our home this spring. Pair that desperation with a nationwide rental car shortage, and you may be so relieve… [+2089 chars]",,Lifehacker.com
Beth Skwarecki,How to Work a Stretching Session Into Your Day,"In March, I’ve tried to figure out whether I could fit stretching into my fitness regimen and like doing it. After almost three weeks, I’m still doing pretty much the same routine I described in my last post. My biggest focus in this time has been consistency…",https://lifehacker.com/how-to-work-a-stretching-session-into-your-day-1848738048,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/07cb5675f5e14ff17016d7fe5971bf83.jpg",2022-04-01T19:00:00Z,"In March, Ive tried to figure out whether I could fit stretching into my fitness regimen and like doing it. After almost three weeks, Im still doing pretty much the same routine I described in my las… [+4323 chars]",,Lifehacker.com
Meredith Dietz,Everything You Should Do on the First Day of a Remote Job,"Many of us adjusted to WFH life over the past two years, maybe even joining the so-called “great resignation” to avoid a forced return to an in-person office. Given the opportunity to start a remote gig, there’s no shortage of reasons to opt for the perks of …",https://lifehacker.com/everything-you-should-do-on-the-first-day-of-a-remote-j-1848666722,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/5b04a7df0b88f5bd420e4d11b97fbede.jpg",2022-03-17T16:00:00Z,"Many of us adjusted to WFH life over the past two years, maybe even joining the so-called great resignation to avoid a forced return to an in-person office. Given the opportunity to start a remote gi… [+5426 chars]",,Lifehacker.com
Claire Lower,8 Ways to Add a Little Luck of the Irish to Your St. Patrick's Day Spread,"Tomorrow is March 17, also known as “St. Patrick’s Day,” “St. Paddy’s Day,” and “amateur hour.” It’s the day that people who don’t drink all that much decide to really tie one on, and it’s the absolute worst day to be at a bar.Read more...",https://lifehacker.com/8-ways-to-add-a-little-luck-of-the-irish-to-your-st-pa-1848657628,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/94253164dfe54685a9c23e9c74f7d708.jpg",2022-03-16T13:30:00Z,"Tomorrow is March 17, also known as St. Patricks Day, St. Paddys Day, and amateur hour. Its the day that people who dont drink all that much decide to really tie one on, and its the absolute worst da… [+345 chars]",,Lifehacker.com
Beth Skwarecki,How Long Is Too Long to Spend on a Machine at the Gym?,"If you’re new to going to the gym, we have a whole guide to the basic, possibly embarrassing questions that may come up in your head. But today we’re going to zero in on one of the more common things to overthink about: How long a time is it okay to spend on …",https://lifehacker.com/how-long-is-too-long-to-spend-on-a-machine-at-the-gym-1848713370,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/0cd74ca79585cd42c8ae454a92bc22bd.jpg",2022-04-04T13:00:00Z,"If youre new to going to the gym, we have a whole guide to the basic, possibly embarrassing questions that may come up in your head. But today were going to zero in on one of the more common things t… [+2124 chars]",,Lifehacker.com
