id,name,description,url,category,language,country
ars-technica,Ars Technica,"The PC enthusiast's resource. Power users and the tools they love, without computing religion.",http://arstechnica.com,technology,en,us
crypto-coins-news,Crypto Coins News,"Providing breaking cryptocurrency news - focusing on Bitcoin, Ethereum, ICOs, blockchain technology, and smart contracts.",https://www.ccn.com,technology,en,us
engadget,Engadget,Engadget is a web magazine with obsessive daily coverage of everything new in gadgets and consumer electronics.,https://www.engadget.com,technology,en,us
hacker-news,Hacker News,"Hacker News is a social news website focusing on computer science and entrepreneurship. It is run by Paul Graham's investment fund and startup incubator, Y Combinator. In general, content that can be submitted is defined as ""anything that gratifies one's intellectual curiosity"".",https://news.ycombinator.com,technology,en,us
recode,Recode,"Get the latest independent tech news, reviews and analysis from Recode with the most informed and respected journalists in technology and media.",http://www.recode.net,technology,en,us
techcrunch,TechCrunch,"TechCrunch is a leading technology media property, dedicated to obsessively profiling startups, reviewing new Internet products, and breaking tech news.",https://techcrunch.com,technology,en,us
techradar,TechRadar,"The latest technology news and reviews, covering computing, home entertainment systems, gadgets and more.",http://www.techradar.com,technology,en,us
the-next-web,The Next Web,"The Next Web is one of the world’s largest online publications that delivers an international perspective on the latest news about Internet technology, business and culture.",http://thenextweb.com,technology,en,us
the-verge,The Verge,"The Verge covers the intersection of technology, science, art, and culture.",http://www.theverge.com,technology,en,us
wired,Wired,"Wired is a monthly American magazine, published in print and online editions, that focuses on how emerging technologies affect culture, the economy, and politics.",https://www.wired.com,technology,en,us
